Source,Target,Directed,Weight,Type,Year
Dorothy Allison,Elizabeth Brundage,,1,Directed,
Dorothy Allison,Elizabeth McCracken,,1,Directed,
Dorothy Allison,Jacqueline Woodson,,1,Directed,
Dorothy Allison,Jewelle Gomez,,1,Directed,
Dorothy Allison,Jill McCorkle,,1,Directed,
Dorothy Allison,Jim Grimsley,,1,Directed,
Dorothy Allison,Justin Torres,,1,Directed,
Dorothy Allison,Kalisha Buckhanon,,1,Directed,
Dorothy Allison,Leslie Larson,,1,Directed,
Dorothy Allison,Lisa Alther,,1,Directed,
Dorothy Allison,Madison Smartt Bell,,1,Directed,
Dorothy Allison,Meg Tilly,,1,Directed,
Dorothy Allison,Nalo Hopkinson,,1,Directed,
Dorothy Allison,Nicola Griffith,,1,Directed,
Dorothy Allison,Patricia Henley,,1,Directed,
Dorothy Allison,Rebecca Brown,,1,Directed,
Dorothy Allison,Ron Rash,,1,Directed,
Dorothy Allison,Rosina Lippi,,1,Directed,
Dorothy Allison,Silas House,,1,Directed,
Dorothy Allison,Stacey D'Erasmo,,1,Directed,
Dorothy Allison,Tayari Jones,,1,Directed,
Dorothy B. Hughes,Tony Hillerman,,1,Directed,
Dorothy Bryant,Tina De Rosa,,1,Directed,
Dorothy Cannell,Nancy Pickard,,1,Directed,
Dorothy Parker,Anthony Powell,,1,Directed,
Dorothy Parker,Evan S. Connell,,1,Directed,
Dorothy Parker,James Purdy,,1,Directed,
Dorothy Parker,Nathanael West,,1,Directed,
Dorothy Salisbury Davis,John Katzenbach,,1,Directed,
Dorothy Salisbury Davis,Sandra Scoppettone,,1,Directed,
Dorothy Salisbury Davis,Sue Grafton,,1,Directed,
Dorothy Uhnak,Phillip Margolin,,1,Directed,
Dorthe Nors,Jarett Kobek,,1,Directed,
Dorthe Nors,Jess Arndt,,1,Directed,
Doug Dorst,Amelia Gray,,1,Directed,
Doug Dorst,Owen Egerton,,1,Directed,
Doug Marlette,Mark Ethridge,,1,Directed,
Doug Peacock,Rick Bass,,1,Directed,
Doug Stanton,Lea Carpenter,,1,Directed,
Doug Stanton,Thomas W. Young,,1,Directed,
Dougla Waller,John Weisman,,1,Directed,
Douglas Adams,Helen Fielding,,1,Directed,
Douglas Adams,Marty Asher,,1,Directed,
Douglas Brinkley,Tom Piazza,,1,Directed,
Douglas Brunt,Rae DelBianco,Rough Animals,1,Directed,
Douglas Clegg,Christopher Golden,,1,Directed,
Douglas Clegg,M.J. Rose,,1,Directed,
Douglas Coupland,Austin Grossman,,1,Directed,
Douglas Coupland,Catherine O'Flynn,,1,Directed,
Douglas Coupland,Christopher Bollen,,1,Directed,
Douglas Coupland,David Gilbert,,1,Directed,
Douglas Coupland,Hari Kunzru,,1,Directed,
Douglas Coupland,Jeffrey Rotter,,1,Directed,
Douglas Coupland,Katrina Onstad,,1,Directed,
Douglas Coupland,Mark Haddon,,1,Directed,
Douglas Coupland,Mark Leyner,,1,Directed,
Douglas Coupland,Scarlett Thomas,,1,Directed,
Douglas Day,Aaron Roy Even,,1,Directed,
Douglas Day,Mary Lee Settle,,1,Directed,
Douglas Fairbanks Jr.,Michael Korda,,1,Directed,
Douglas Glover,Andrea Barrett,,1,Directed,
Douglas Glover,Leon Rooke,,1,Directed,
Douglas Gordon,Naton Leslie,,1,Directed,
Douglas Preston,Allan Folsom,,1,Directed,
Douglas Preston,Daniel Kalla,,1,Directed,
Douglas Preston,David Morrell,,1,Directed,
Douglas Preston,Larry Bond,,1,Directed,
Douglas Preston,Robert Rosenberg,,1,Directed,
Douglas Preston,Tom Casey,,1,Directed,
Douglas Unger,Paula Saunders,,1,Directed,
Douglas Unger,Peter Craig,,1,Directed,
Douglas Unger,Richard Wiley,,1,Directed,
Douglass Bolling,Clarence Major,,1,Directed,
Drew Pinsky,Josh Kilmer-Purcell,,1,Directed,
Duane Swierczynski,Allan Guthrie,,1,Directed,
Duane Swierczynski,Seth Harwood,,1,Directed,
Dudley Fitts,James Purdy,,1,Directed,
Duff Brenna,Lauren B. Davis,,1,Directed,
Duncan McLean,Michel Faber,,1,Directed,
Dwayne McDuffie,John Ridley,,1,Directed,
Dylan Hicks,Forrest Leo,,1,Directed,
Dylan Landis,James Magruder,,1,Directed,
Dylan Landis,Jessica Anya Blau,,1,Directed,
Dylan Landis,Tara Ison,,1,Directed,
Dylan Schaffer,Lori Andrews,,1,Directed,
Dylan Thomas,Amos Tutuola,,1,Directed,
E. Lynn Harris,Alice Randall,,1,Directed,
E. Lynn Harris,Bertice Berry,,1,Directed,
E. Lynn Harris,Brian Keith Jackson,,1,Directed,
E. Lynn Harris,Clarence Nero,,1,Directed,
E. Lynn Harris,Colin Channer,,1,Directed,
E. Lynn Harris,Connie Briscoe,,1,Directed,
E. Lynn Harris,Jewell Parker Rhodes,,1,Directed,
E. Lynn Harris,Kalisha Buckhanon,,1,Directed,
E. Lynn Harris,Linda Villarosa,,1,Directed,
E. Lynn Harris,Lolita Files,,1,Directed,
E. Lynn Harris,Melvin Dixon,,1,Directed,
E. Lynn Harris,Nelson George,,1,Directed,
E. Lynn Harris,Omar Tyree,,1,Directed,
E. Lynn Harris,Patricia Elam,,1,Directed,
E. Lynn Harris,Pearl Cleage,,1,Directed,
E. Lynn Harris,Phyllis Alesia Perry,,1,Directed,
E. Lynn Harris,Tananarive Due,,1,Directed,
E. Lynn Harris,Travis Hunter,,1,Directed,
E.C. Osondu,Christie Watson,,1,Directed,
E.J. Dionne,Richard Rosen,,1,Directed,
E.L. Doctorow,Brian Morton,,1,Directed,
E.L. Doctorow,Dalton Trumbo,(I),1,Directed,
E.L. Doctorow,Grace Paley,,1,Directed,
E.L. Doctorow,Juan Gabriel Vasquez,,1,Directed,
E.L. Doctorow,Margaret Atwood,,1,Directed,
E.L. Doctorow,Martha Witt,,1,Directed,
E.L. Doctorow,Roy Scranton,,1,Directed,
E.M. Forster,John Knowles,,1,Directed,
E.M. Nathanson,T. Jefferson Parker,,1,Directed,
Earl Emerson,Aaron Elkins,,1,Directed,
Earl Lovelace,Monique Roffey,,1,Directed,
Earle Birney,Robert Sward,,1,Directed,
Earlene Fowler,Margaret Coel,,1,Directed,
Eavan Boland,Bernard MacLaverty,,1,Directed,
Ed Gorman,Duane Swierczynski,,1,Directed,
Ed Greenwood,Scott Westerfeld,,1,Directed,
Ed McBain,Chuck Hogan,,1,Directed,
Ed McBain,John D. MacDonald,,1,Directed,
Ed McBain,Ross Thomas,,1,Directed,
Ed McClanahan,Ken Babbs,,1,Directed,
Ed McClanahan,Rick DeMarinis,,1,Directed,
Ed Park,Dylan Hicks,,1,Directed,
Ed Park,Jana Casale,,1,Directed,
Ed Park,Jessica Winter,,1,Directed,
Ed Park,Katie Arnold-Ratliff,,1,Directed,
Ed Park,Ling Ma,,1,Directed,
Ed Park,Russell Hoban,,1,Directed,
Ed Park,Ryan Boudinot,,1,Directed,
Ed Park,Wendy Lee,,1,Directed,
Ed Ruggero,James Grady,,1,Directed,
Edan Lepucki,Adrienne Celt,,1,Directed,
Edan Lepucki,Augustus Rose,,1,Directed,
Edan Lepucki,Benjamin Percy,,1,Directed,
Edan Lepucki,Charlie Jane Anders,,1,Directed,
Edan Lepucki,Daniel Torday,,1,Directed,
Edan Lepucki,Danielle Lazarin,,1,Directed,
Edan Lepucki,Ivy Pochoda,,1,Directed,
Edan Lepucki,J. Ryan Stradal,,1,Directed,
Edan Lepucki,Janelle Brown,,1,Directed,
Edan Lepucki,Julie Buntin,,1,Directed,
Edan Lepucki,Kim Brooks,,1,Directed,
Edan Lepucki,Lydia Kiesling,The Golden State,1,Directed,
Edan Lepucki,Marcy Dermansky,,1,Directed,
Edan Lepucki,Maria Hummel,,1,Directed,
Edan Lepucki,Melissa Broder,The Pisces,1,Directed,
Edan Lepucki,Rumaan Alam,,1,Directed,
Edan Lepucki,Siel Ju,,1,Directed,
Edan Lepucki,Tim Wirkus,,1,Directed,
Eddie Bunker,Joel Rose,,1,Directed,
Eddie Joyce,Randall Klein,Little Disasters,1,Directed,
Eddy L. Harris,Kathleen Hill,,1,Directed,
Eden Robinson,Claire Cameron,,1,Directed,
Eden Robinson,Erika T. Wurth,,1,Directed,
Eden Robinson,Kevin Chong,,1,Directed,
Eden Robinson,Larissa Lai,,1,Directed,
Eden Robinson,Wayde Compton,,1,Directed,
Edgar Cantero,Oyinkan Braithwaite,,1,Directed,
Edie Meidav,Debra Jo Immergut,,1,Directed,
Edith Grossman,Jaime Manrique,,1,Directed,
Edith Pearlman,Brock Clarke,,1,Directed,
Edith Pearlman,David Bezmozgis,,1,Directed,
Edith Pearlman,Jacob M. Appel,,1,Directed,
Edith Pearlman,Karen E. Bender,,1,Directed,
Edith Sitwell,Carson McCullers,,1,Directed,
Edmund Fuller,D. Keith Mano,,1,Directed,
Edmund Fuller,Paul De Vries,,1,Directed,
Edmund White,Adam Mars-Jones,,1,Directed,
Edmund White,Akhil Sharma,,1,Directed,
Edmund White,Alexander Chee,,1,Directed,
Edmund White,Alison Lurie,,1,Directed,
Edmund White,Amanda Filipacchi,,1,Directed,
Edmund White,Andrew Holleran,,1,Directed,
Edmund White,Carole Maso,,1,Directed,
Edmund White,Chimamanda Adichie,,1,Directed,
Edmund White,Christopher Bollen,,1,Directed,
Edmund White,Coleman Dowell,,1,Directed,
Edmund White,Colm Toibin,,1,Directed,
Edmund White,Darryl Pinckney,,1,Directed,
Edmund White,David Treuer,,1,Directed,
Edmund White,Edward St. Aubyn,,1,Directed,
Edmund White,Fae Myenne Ng,,1,Directed,
Edmund White,Felice Picano,,1,Directed,
Edmund White,Francine du Plessix Gray,,1,Directed,
Edmund White,Garth Greenwell,,1,Directed,
Edmund White,Gary Shteyngart,,1,Directed,
Edmund White,Geoff Dyer,,1,Directed,
Edmund White,Hanya Yanagihara,,1,Directed,
Edmund White,Harry Mathews,,1,Directed,
Edmund White,James Salter,,1,Directed,
Edmund White,Jeanette Winterson,,1,Directed,
Edmund White,Jess Row,,1,Directed,
Edmund White,Joan Silber,,1,Directed,
Edmund White,John Berendt,,1,Directed,
Edmund White,John Hawkes,,1,Directed,
Edmund White,John Rechy,,1,Directed,
Edmund White,Joy Williams,,1,Directed,
Edmund White,Joyce Carol Oates,,1,Directed,
Edmund White,K.M. Soehnlein,,1,Directed,
Edmund White,Karl Ove Knausgaard,,1,Directed,
Edmund White,Katie Estill,,1,Directed,
Edmund White,Lynne Tillman,,1,Directed,
Edmund White,Margo Jefferson,,1,Directed,
Edmund White,Marie Calloway,,1,Directed,
Edmund White,Martin Hyatt,,1,Directed,
Edmund White,Mary Caponegro,,1,Directed,
Edmund White,Paul Russell,,1,Directed,
Edmund White,Rakesh Satyal,,1,Directed,
Edmund White,Robert Coover,,1,Directed,
Edmund White,Robert Ferro,,1,Directed,
Edmund White,Said Sayrafiezadeh,,1,Directed,
Edmund White,Sam Lipsyte,,1,Directed,
Edmund White,Sarah Schulman,,1,Directed,
Edmund White,Sheila Kohler,,1,Directed,
Edmund White,Sigrid Nunez,,1,Directed,
Edmund White,Susanna Moore,,1,Directed,
Edmund White,Vestal McIntyre,,1,Directed,
Edmund White,William Haywood Henderson,,1,Directed,
Edmund White,Zachary Lazar,,1,Directed,
Edmund Wilson,Vladimir Nabokov,,1,Directed,
Edmundo Paz Soldan,Morteza Baharloo,,1,Directed,
Edna Buchanan,Les Standiford,,1,Directed,
Edna Buchanan,Michael Connelly,,1,Directed,
Edna O'Brien,Daniel Woodrell,,1,Directed,
Edna O'Brien,Dawn Tripp,,1,Directed,
Edna O'Brien,Donal Ryan,,1,Directed,
Edna O'Brien,Frederic Tuten,,1,Directed,
Edna O'Brien,Harry Parker,,1,Directed,
Edna O'Brien,James Salter,,1,Directed,
Edna O'Brien,Kate Walbert,,1,Directed,
Edna O'Brien,Maggie O'Farrell,,1,Directed,
Edna O'Brien,Monique Wittig,,1,Directed,
Edna O'Brien,Paul Lynch,,1,Directed,
Edna O'Brien,Robert Coover,,1,Directed,
Eduardo Galeano,Elena Poniatowska,,1,Directed,
Eduardo Galeano,H.G. Carrillo,,1,Directed,
Eduardo Santiago,Lisa Hernandez,,1,Directed,
Edward Abbey,Alan Harrington,,1,Directed,
Edward Abbey,Barry Lopez,,1,Directed,
Edward Abbey,Chilton Williamson Jr.,,1,Directed,
Edward Abbey,William Eastlake,,1,Directed,
Edward Albee,Larry Kramer,,1,Directed,
Edward Allen,Craig Nova,,1,Directed,
Edward Asner,Harry Mark Petrakis,,1,Directed,
Edward Bryant,Cynthia Felice,,1,Directed,
Edward Bryant,Michael Bishop,,1,Directed,
Edward Bryant,Peter S. Beagle,,1,Directed,
Edward Bryant,Terry Bisson,,1,Directed,
Edward Carey,Benjamin Hale,,1,Directed,
Edward Chupack,John Boyne,,1,Directed,
Edward Conlon,Thomas Kelly,,1,Directed,
Edward Falco,Kyle Minor,,1,Directed,
Edward Field,Mark Merlis,,1,Directed,
Edward Hirsch,Nicholas Christopher,,1,Directed,
Edward Hoagland,Annie Proulx,,1,Directed,
Edward Hoagland,Howard Frank Mosher,,1,Directed,
Edward Hoagland,Howard Norman,,1,Directed,
Edward Hoagland,Irini Spanidou,,1,Directed,
Edward Hoagland,Robert F. Jones,,1,Directed,
Edward Kelsey Moore,Fannie Flagg,,1,Directed,
Edward L. Beach,Tom Clancy,,1,Directed,
Edward Lee,Brian Hodge,,1,Directed,
Edward Lee,Carlton Mellick III,,1,Directed,
Edward Lueders,Harry Mark Petrakis,,1,Directed,
Edward O. Wilson,Alan Lightman,,1,Directed,
Edward P. Jones,Austin Clarke,,1,Directed,
Edward P. Jones,Bill Cheng,,1,Directed,
Edward P. Jones,Elizabeth Poliner,,1,Directed,
Edward P. Jones,Holly Goddard Jones,,1,Directed,
Edward P. Jones,Junot Diaz,,1,Directed,
Edward P. Jones,Marita Golden,,1,Directed,
Edward P. Jones,Richard Perry,,1,Directed,
Edward Packard,Ben Loory,,1,Directed,
Edward Rutherford,Susan Vreeland,,1,Directed,
Edward Stewart,John Lucas,,1,Directed,
Edward Stewart,Peter Rand,,1,Directed,
Edward Stewart,Sandra Scoppettone,,1,Directed,
Edward Swift,Sarah Schulman,,1,Directed,
Edwidge Danticat,Alejo Carpentier,,1,Directed,
Edwidge Danticat,Asha Bandele,,1,Directed,
Edwidge Danticat,Chinelo Okparanta,,1,Directed,
Edwidge Danticat,Cristina Garcia,,1,Directed,
Edwidge Danticat,Danzy Senna,,1,Directed,
Edwidge Danticat,Elizabeth Nunez,,1,Directed,
Edwidge Danticat,Jacqueline Woodson,,1,Directed,
Edwidge Danticat,James Baldwin,,1,Directed,
Edwidge Danticat,Jean Rhys,,1,Directed,
Edwidge Danticat,Kate Walbert,,1,Directed,
Edwidge Danticat,Loida Maritza Perez,,1,Directed,
Edwidge Danticat,Maryse Conde,,1,Directed,
Edwidge Danticat,Nelly Rosario,,1,Directed,
Edwidge Danticat,NoViolet Bulawayo,,1,Directed,
Edwidge Danticat,Patricia Powell,,1,Directed,
Edwidge Danticat,Robert Antoni,,1,Directed,
Edwidge Danticat,Roxane Gay,,1,Directed,
Edwidge Danticat,Tayari Jones,,1,Directed,
Edwidge Danticat,Tiphanie Yanique,,1,Directed,
Edwin Muir,Emily Holmes Coleman,,1,Directed,
Edwin O'Connor,A.E. Ellis,,1,Directed,
Edwin O'Connor,Anthony Powell,,1,Directed,
Ehud Havazelet,Joan Frank,,1,Directed,
Ehud Havazelet,S.M. Hulse,,1,Directed,
Ehud Havazelet,Scott Nadelson,,1,Directed,
Eileen Dreyer,Jennifer Crusie,,1,Directed,
Eileen Goudge,Freda Bright,,1,Directed,
Eileen Goudge,Janice Graham,,1,Directed,
Eileen Goudge,Kristin Hannah,,1,Directed,
Eileen Goudge,Luanne Rice,,1,Directed,
Eileen Goudge,Sally Beauman,,1,Directed,
Eileen Goudge,Sarah Addison Allen,,1,Directed,
Eileen Goudge,William Cobb,,1,Directed,
Eileen Gunn,James Patrick Kelly,,1,Directed,
Eileen Gunn,Lavie Tidhar,,1,Directed,
Eileen Kernaghan,Sean Stewart,,1,Directed,
Eileen Myles,Ali Liebegott,,1,Directed,
Eileen Myles,Andrea Lawlor,,1,Directed,
Eileen Myles,Henry Flesh,,1,Directed,
Eileen Myles,Jami Attenberg,,1,Directed,
Eileen Myles,Leslie Feinberg,,1,Directed,
Eileen Myles,Marci Blackman,,1,Directed,
Eileen Myles,Matthew Sharpe,,1,Directed,
Eileen Myles,Michelle Tea,,1,Directed,
Eileen Myles,Miranda Mellis,,1,Directed,
Eileen Myles,Owen Hill,,1,Directed,
Eileen Myles,Richard Perez,,1,Directed,
Eileen Pollack,Danielle Lazarin,,1,Directed,
Eileen Pollack,Peter Brown,,1,Directed,
Eileen Pollack,Sharon Pomerantz,,1,Directed,
Eileen Schnurr,Helen Norris,,1,Directed,
Eileen Simpson,Joseph Caldwell,,1,Directed,
Eimear McBride,Claire-Louise Bennett,,1,Directed,
Eimear McBride,Edna O'Brien,,1,Directed,
Eimear McBride,Han Kang,,1,Directed,
Eimear McBride,Jon McGregor,,1,Directed,
Eimear McBride,Sara Baume,,1,Directed,
Eimear McBride,Sara Taylor,,1,Directed,
Eimear McBride,Stuart Evers,,1,Directed,
Eimear McBride,Yasmine El Rashidi,,1,Directed,
Eizabeth Winder,Fiona Davis,,1,Directed,
Eka Kurniawan,Clarissa Goenawan,,1,Directed,
Elaine Castillo,Gina Apostol,,1,Directed,
Elaine Cunningham,Justin Gustainis,,1,Directed,
Elaine Feinstein,Emma Tennant,,1,Directed,
Elaine Lui,Joshilyn Jackson,,1,Directed,
Elaine Neil Orr,Kathryn Schwille,,1,Directed,
Elan Mastai,Craig Davidson,,1,Directed,
Eleanor Bergstein,Annette Williams Jaffee,,1,Directed,
Eleanor Brown,Lauren Fox,,1,Directed,
Eleanor Brown,Samuel Park,,1,Directed,
Eleanor Carroll Chilton,Andrew Lytle,,1,Directed,
Eleanor Catton,Chigozie Obioma,,1,Directed,
Eleanor Catton,Eimear McBride,,1,Directed,
Eleanor Catton,Jenni Fagan,,1,Directed,
Eleanor Catton,Mike McCormack,,1,Directed,
Eleanor Henderson,Eric Bennett,,1,Directed,
Eleanor Henderson,Lydia Peelle,,1,Directed,
Eleanor Henderson,Sunil Yapa,,1,Directed,
Eleanor Roosevelt,Willard Motley,,1,Directed,
Eleanor Taylor Brand,Glenville Lovell,,1,Directed,
Elena Castedo,Francisco Goldman,,1,Directed,
Elena Castedo,Paul West,,1,Directed,
Elena Poniatowska,Laura Esquivel,,1,Directed,
Elena Poniatowska,Lori Marie Carlson,,1,Directed,
Elfriede Jelinek,Christian Kracht,,1,Directed,
Elie Wiesel,Gloria Goldreich,,1,Directed,
Elie Wiesel,Harry Mark Petrakis,,1,Directed,
Elie Wiesel,Rachel Kadish,,1,Directed,
Elie Wiesel,Susan Dodd,,1,Directed,
Elie Wiesel,Thane Rosenbaum,,1,Directed,
Elif Batuman,Dara Horn,,1,Directed,
Elif Batuman,Sayaka Murata,,1,Directed,
Elif Batuman,Steve Toltz,,1,Directed,
Elif Shafak,Adam Langer,,1,Directed,
Elif Shafak,Azhar Abidi,,1,Directed,
Elif Shafak,Claire Hajaj,,1,Directed,
Elif Shafak,Elliot Ackerman,,1,Directed,
Elin Hilderbrand,Claire Cook,,1,Directed,
Elin Hilderbrand,Irina Reyn,,1,Directed,
Elin Hilderbrand,J. Courtney Sullivan,,1,Directed,
Elin Hilderbrand,Jane Green,,1,Directed,
Elin Hilderbrand,Katherine Heiny,,1,Directed,
Elin Hilderbrand,Kristin Hannah,,1,Directed,
Elin Hilderbrand,Laura Kasischke,,1,Directed,
Elin Hilderbrand,Leah Stewart,,1,Directed,
Elin Hilderbrand,Meg Waite Clayton,,1,Directed,
Elin Hilderbrand,Michael Koryta,,1,Directed,
Elin Hilderbrand,Therese Anne Fowler,,1,Directed,
Elinor Lipman,Alison Pace,,1,Directed,
Elinor Lipman,Amy Poeppel,,1,Directed,
Elinor Lipman,Andrew Winer,,1,Directed,
Elinor Lipman,Ben Dolnick,,1,Directed,
Elinor Lipman,Carol Wallace,,1,Directed,
Elinor Lipman,Frederick Reiken,,1,Directed,
Elinor Lipman,Greg Garrett,,1,Directed,
Elinor Lipman,Heidi Jon Schmidt,,1,Directed,
Elinor Lipman,Hilma Wolitzer,,1,Directed,
Elinor Lipman,Joyce Maynard,,1,Directed,
Elinor Lipman,Lauren Belfer,,1,Directed,
Elinor Lipman,Mameve Medwed,,1,Directed,
Elinor Lipman,Mick Cochrane,,1,Directed,
Elinor Lipman,P. Carey Reid,,1,Directed,
Elinor Lipman,Stephen McCauley,,1,Directed,
Elinor Lipman,Thisbe Nissen,,1,Directed,
Elinor Lipman,Tom Perrotta,,1,Directed,
Elinor Lipman,Wally Lamb,,1,Directed,
Elisa Albert,Amy Sohn,,1,Directed,
Elisa Albert,Eric Puchner,,1,Directed,
Elisa Albert,Ian McKenzie,Feast Days,1,Directed,
Elisa Albert,Jessie Greengrass,,1,Directed,
Elisa Albert,Lydia Kiesling,The Golden State,1,Directed,
Elisa Albert,Pamela Erens,,1,Directed,
Elisa Lodato,Clarissa Goenawan,,1,Directed,
Elisabeth Brink,Holly Robinson,,1,Directed,
Elisabeth de Mariaffi,Leesa Deen,,1,Directed,
Elisabeth Harvor,Angie Abdou,,1,Directed,
Elisabeth Robinson,Katherine Taylor,,1,Directed,
Elise Blackwell,Andrew Valencia,,1,Directed,
Elise Blackwell,Moira Crone,,1,Directed,
Elise Chidley,Wendy Walker,,1,Directed,
Elissa Schappell,Ben Loory,,1,Directed,
Elissa Schappell,Helen Schulman,,1,Directed,
Elissa Schappell,Mandy Berman,,1,Directed,
Eliza Minot,Maxine Swann,,1,Directed,
Elizabeth A. Lynn,John Varley,,1,Directed,
Elizabeth Bachinsky,Amber Dawn,,1,Directed,
Elizabeth Bear,Ann Leckie,,1,Directed,
Elizabeth Bear,Ken Liu,,1,Directed,
Elizabeth Bear,Martha Wells,,1,Directed,
Elizabeth Bear,Peter Watts,,1,Directed,
Elizabeth Bear,Tade Thompson,,1,Directed,
Elizabeth Becka,Lori Andrews,,1,Directed,
Elizabeth Benedict,Cheryl Pearl Sucher,,1,Directed,
Elizabeth Benedict,Joseph Olshan,,1,Directed,
Elizabeth Benedict,Lucia Nevai,,1,Directed,
Elizabeth Benedict,Roger King,,1,Directed,
Elizabeth Benedict,Stephen McCauley,,1,Directed,
Elizabeth Berg,Abigail Thomas,,1,Directed,
Elizabeth Berg,Ann Hood,,1,Directed,
Elizabeth Berg,Cathi Hanauer,,1,Directed,
Elizabeth Berg,Cheryl Strayed,,1,Directed,
Elizabeth Berg,Chitra Divakaruni ,,1,Directed,
Elizabeth Berg,Dani Shapiro,,1,Directed,
Elizabeth Berg,Elizabeth Strout,,1,Directed,
Elizabeth Berg,Hilma Wolitzer,,1,Directed,
Elizabeth Berg,Janet Fitch,,1,Directed,
Elizabeth Berg,Jill Bialosky,,1,Directed,
Elizabeth Berg,Jo Ann Beard,,1,Directed,
Elizabeth Berg,Leah Hager Cohen,,1,Directed,
Elizabeth Berg,Mark Slouka,,1,Directed,
Elizabeth Berg,Nancy Horan,,1,Directed,
Elizabeth Berg,Nicole Krauss,,1,Directed,
Elizabeth Berg,Rita Ciresi,,1,Directed,
Elizabeth Berg,Robin Black,,1,Directed,
Elizabeth Bowen,Eudora Welty,,1,Directed,
Elizabeth Bowen,Louis Auchincloss,,1,Directed,
Elizabeth Bowen,Mary McCarthy,,1,Directed,
Elizabeth Bowen,William Goyen,,1,Directed,
Elizabeth Brundage,Amy Poeppel,,1,Directed,
Elizabeth Brundage,Meg Waite Clayton,,1,Directed,
Elizabeth Buchan,Katie Fforde,,1,Directed,
Elizabeth Cohen,Martha J. Egan,,1,Directed,
Elizabeth Cox,Angela Davis-Gardner,,1,Directed,
Elizabeth Crane,D. Foy,,1,Directed,
Elizabeth Crane,Halle Butler,,1,Directed,
Elizabeth Crane,Jac Jemc,,1,Directed,
Elizabeth Crane,James Boice,,1,Directed,
Elizabeth Crane,Jamie Quatro,,1,Directed,
Elizabeth Crane,Mark Haskell Smith,,1,Directed,
Elizabeth Crane,Owen Egerton,,1,Directed,
Elizabeth Crane,Simon Van Booy,,1,Directed,
Elizabeth Crane,Yannick Murphy,,1,Directed,
Elizabeth Day,Allison Pearson,,1,Directed,
Elizabeth Dewberry,Carrie Tiffany,,1,Directed,
Elizabeth Dewberry,James Brown,,1,Directed,
Elizabeth Dewberry,Pinckney Benedict,,1,Directed,
Elizabeth Ellen,Andrew Duncan Worthington,,1,Directed,
Elizabeth Ellen,Cameron Pierce,,1,Directed,
Elizabeth Ellen,Elle Nash,Animals Eat Each Other,1,Directed,
Elizabeth Ellen,Siel Ju,,1,Directed,
Elizabeth Flock,Heather Gudenkauf,,1,Directed,
Elizabeth Flock,Stacey Ballis,,1,Directed,
Elizabeth Forsythe Hailey,Barbara Wood,,1,Directed,
Elizabeth Forsythe Hailey,Cammie McGovern,,1,Directed,
Elizabeth Forsythe Hailey,Clyde Edgerton,,1,Directed,
Elizabeth Forsythe Hailey,Dora Levy Mossanen,,1,Directed,
Elizabeth Forsythe Hailey,Elizabeth Richards,,1,Directed,
Elizabeth Forsythe Hailey,Ellen Roddick,,1,Directed,
Elizabeth Forsythe Hailey,Erica Jong,,1,Directed,1941
Elizabeth Forsythe Hailey,Gina B. Nahai,,1,Directed,1922
Elizabeth Forsythe Hailey,Gwen Davis,,1,Directed,
Elizabeth Forsythe Hailey,Iris Rainer Dart,,1,Directed,1927
Elizabeth Forsythe Hailey,Jean Brody,,1,Directed,
Elizabeth Forsythe Hailey,Joan Silber,,1,Directed,
Elizabeth Forsythe Hailey,June Flaum Singer,,1,Directed,
Elizabeth Forsythe Hailey,Luanne Rice,,1,Directed,
Elizabeth Forsythe Hailey,Mary Vann Hunter,,1,Directed,
Elizabeth Forsythe Hailey,Maureen Rissik,,1,Directed,
Elizabeth Forsythe Hailey,Nancy Thayer,,1,Directed,
Elizabeth Forsythe Hailey,Sue Miller,,1,Directed,
Elizabeth Forsythe Hailey,Susan Fromberg Schaeffer,,1,Directed,
Elizabeth Forsythe Hailey,Susan Shreve,,1,Directed,
Elizabeth Gaffney,Amy Sohn,,1,Directed,
Elizabeth Gaffney,Helen Schulman,,1,Directed,
Elizabeth George,James Lee Burke,,1,Directed,
Elizabeth George,Joanne Harris,,1,Directed,
Elizabeth George,Meg Gardiner,,1,Directed,
Elizabeth George,Robert Crais,,1,Directed,
Elizabeth George,T. Jefferson Parker,,1,Directed,
Elizabeth Gilbert,Anthony Doerr,,1,Directed,
Elizabeth Gilbert,Cathi Hanauer,,1,Directed,
Elizabeth Gilbert,Cynthia D'Aprix Sweeney,,1,Directed,
Elizabeth Gilbert,Darcey Steinke,,1,Directed,
Elizabeth Gilbert,Darin Strauss,,1,Directed,
Elizabeth Gilbert,Gary Shteyngart,Lake Success,1,Directed,
Elizabeth Gilbert,Helen Schulman,,1,Directed,
Elizabeth Gilbert,Hilary Mantel,,1,Directed,
Elizabeth Gilbert,Janice Y.K. Lee,,1,Directed,
Elizabeth Gilbert,Jonathan Miles,,1,Directed,
Elizabeth Gilbert,Megan Kruse,,1,Directed,
Elizabeth Gilbert,Michael Knight,,1,Directed,
Elizabeth Gilbert,Rene Steinke,,1,Directed,
Elizabeth Gilbert,Ruth Ozeki,,1,Directed,
Elizabeth Gilbert,Sanjay Nigam,,1,Directed,
Elizabeth Gilbert,Taiye Selasi,,1,Directed,
Elizabeth Graver,Carolyn Parkhurst,,1,Directed,
Elizabeth Graver,Clarence Major,,1,Directed,
Elizabeth Graver,Ellen Feldman,,1,Directed,
Elizabeth Graver,Holly Robinson,,1,Directed,
Elizabeth Graver,Julianna Baggott,,1,Directed,
